first_name;last_name;date_of_birth;date_of_death;country;gender;language;
David;Abbott;September 22, 1863;June 12, 1934;U.S.A;Male;English;
George;Washington;March 18, 1805;April 28, 1862;U.S.A;Male;English;
Charles;Beecher;October 1, 1815;April 21, 1900;U.S.A;Male;English;
Henry;Church;January 3, 1880;April 4, 1947;U.S.A;Male;English;
Emily;Lucas;June 30, 1832;March 28, 1892;U.S.A;Female;English;
Birdice;Blye;March 24, 1871;June 23, 1935;U.S.A;Female;English;
Henry;Augustin;July 2, 1847;September 7, 1926;U.S.A;Male;English;
George;Addison;July 22, 1771;April 24, 1841;U.S.A;Male;English;
Minnie;Skinner;March 25, 1835;April 19, 1927;U.S.A;Female;English;
Anthony;Comstock;March 7, 1844;September 21, 1915;U.S.A;Male;English;

