Автор,Цитата,Ссылка на ресурс
«В погоне за счастьем»,"Когда у тебя есть мечта, ты должен ее добиваться. Если другие люди с чем-то не справляются, они и тебе будут доказывать, что ты не сможешь. Но когда ты хочешь чего-то очень сильно — иди и борись! ",http://forismatic.com/ru/7a8f0832ea/
Альберт Эйнштейн,"Самое непостижимое в этом мире — то, что он постижим. ",http://forismatic.com/ru/c1f7a7ad95/
Анахарсис,"Удивительно, как при начале пира пьют из малых чаш, а с полными желудками — из больших. ",http://forismatic.com/ru/d6755744b7/
Артур Щницель ,"День долог для того, кто умеет жить. ",http://forismatic.com/ru/5adba4c08b/
Будда Гаутама,"Не потому он старший, что его голова седа. Он в преклонном возрасте, но называют его «состарившимся напрасно». ",http://forismatic.com/ru/ef17c28552/
Дени де Ружмон,"Речь идет не о том, чтобы предвидеть будущее, а о том, чтобы творить его.",http://forismatic.com/ru/b5ee88a305/
Клод Адриан Гельвеций,"Мы сильно наслаждаемся, лишь предвкушая. ",http://forismatic.com/ru/cf7fce4af5/
Марк Аврелий,"Всякому созданию полезно не только все то, что посылается ему провидением, но и в то самое время, когда оно посылается.",http://forismatic.com/ru/103b9db70e/
Оскар Уайльд,"Я не могу управлять направлением ветра, но всегда могу так поставить паруса, чтобы достичь своей цели. ",http://forismatic.com/ru/4a6d14b88f/
Франц Кафка ,Все дело в мгновении. Оно определяет жизнь.,http://forismatic.com/ru/141e5c0165/
Чак Норрис,"Само движение к цели очень часто вознаграждает человека больше, чем ее достижение. ",http://forismatic.com/ru/6c9b5d2704/
Шри Ауробиндо,"Любовь к уединению есть признак предрасположенности к знанию. Само же знание достигается лишь тогда, когда неизменное ощущение уединенности не покидает нас ни среди толпы, ни на поле боя, ни в рыночной сутолоке. ",http://forismatic.com/ru/bddf7d2d8f/
Шри Ауробиндо,"Мнение не бывает ни истинным, ни ложным, а лишь полезным в жизни или бесполезным. ",http://forismatic.com/ru/0bdff1788c/
Шри Ауробиндо,"Трагедии сердца и тела — это плач детей из-за мелких бед и сломанных игрушек. Улыбнись про себя, но утешь детей, и прими участие, если можешь, в их игре. ",http://forismatic.com/ru/2578c347e6/
Эдуард фон Гартман,"Там, где встречаются двое, там на самом деле встречаются шестеро: каким каждый себя представляет, каким его видит другой и какой он на самом деле.",http://forismatic.com/ru/84565b64d9/
